0.0%, MSE: 0.0, Test Acc: 0.22, , STD: 0.00075
62.0%, MSE: 0.05, Test Acc: 0.3, , STD: 3.721143
63.0%, MSE: 0.11, Test Acc: 0.31, , STD: 0.652127
64.0%, MSE: 0.1, Test Acc: 0.33, , STD: 0.29909
65.0%, MSE: 0.09, Test Acc: 0.32, , STD: 4.167283
66.0%, MSE: 0.04, Test Acc: 0.31, , STD: 1.400968
67.0%, MSE: 0.22, Test Acc: 0.29, , STD: 2.262054
68.0%, MSE: 0.2, Test Acc: 0.37, , STD: 4.554574
69.0%, MSE: 0.06, Test Acc: 0.33, , STD: 2.347903
70.0%, MSE: 0.11, Test Acc: 0.3, , STD: 1.345405
71.0%, MSE: 0.28, Test Acc: 0.3, , STD: 2.399688
72.0%, MSE: 0.03, Test Acc: 0.34, , STD: 4.349571
73.0%, MSE: 0.09, Test Acc: 0.36, , STD: 0.278305
74.0%, MSE: 0.07, Test Acc: 0.3, , STD: 0.220558
75.0%, MSE: 0.21, Test Acc: 0.35, , STD: 3.915188
76.0%, MSE: 0.16, Test Acc: 0.36, , STD: 1.499831
77.0%, MSE: 0.02, Test Acc: 0.35, , STD: 1.655767
78.0%, MSE: 0.08, Test Acc: 0.38, , STD: 4.193829
79.0%, MSE: 0.11, Test Acc: 0.36, , STD: 3.378515
80.0%, MSE: 0.09, Test Acc: 0.32, , STD: 0.443014
81.0%, MSE: 0.14, Test Acc: 0.33, , STD: 3.962365
82.0%, MSE: 0.15, Test Acc: 0.32, , STD: 3.519862
83.0%, MSE: 0.07, Test Acc: 0.38, , STD: 0.205989
84.0%, MSE: 0.08, Test Acc: 0.35, , STD: 0.270782
85.0%, MSE: 0.01, Test Acc: 0.37, , STD: 4.317038
86.0%, MSE: 0.07, Test Acc: 0.34, , STD: 1.218076
87.0%, MSE: 0.09, Test Acc: 0.37, , STD: 2.235228
88.0%, MSE: 0.02, Test Acc: 0.35, , STD: 4.492029
89.0%, MSE: 0.01, Test Acc: 0.36, , STD: 4.565186
90.0%, MSE: 0.01, Test Acc: 0.37, , STD: 0.361656
91.0%, MSE: 0.03, Test Acc: 0.37, , STD: 2.221703
92.0%, MSE: 0.08, Test Acc: 0.37, , STD: 2.733593
93.0%, MSE: 0.06, Test Acc: 0.36, , STD: 0.526824
94.0%, MSE: 0.04, Test Acc: 0.35, , STD: 0.162015
95.0%, MSE: 0.08, Test Acc: 0.37, , STD: 4.014607
96.0%, MSE: 0.06, Test Acc: 0.36, , STD: 1.501731
97.0%, MSE: 0.11, Test Acc: 0.36, , STD: 1.092187
98.0%, MSE: 0.12, Test Acc: 0.38, , STD: 3.267728
99.0%, MSE: 0.11, Test Acc: 0.38, , STD: 4.681521
0.0%, MSE: 0.0, Test Acc: 0.16, , STD: 0.0
1.0%, MSE: 0.88, Test Acc: 0.28, , STD: 0.127438
2.0%, MSE: 0.62, Test Acc: 0.27, , STD: 0.0
3.0%, MSE: 0.53, Test Acc: 0.27, , STD: 0.642703
4.0%, MSE: 0.51, Test Acc: 0.23, , STD: 1.572892
5.0%, MSE: 0.43, Test Acc: 0.32, , STD: 0.63351
6.0%, MSE: 0.57, Test Acc: 0.31, , STD: 1.933182
7.0%, MSE: 0.62, Test Acc: 0.28, , STD: 0.848082
8.0%, MSE: 0.33, Test Acc: 0.29, , STD: 0.766782
9.0%, MSE: 0.26, Test Acc: 0.34, , STD: 1.051672
10.0%, MSE: 0.22, Test Acc: 0.29, , STD: 0.767011
11.0%, MSE: 0.35, Test Acc: 0.29, , STD: 1.164061
12.0%, MSE: 0.46, Test Acc: 0.28, , STD: 1.14545
13.0%, MSE: 0.5, Test Acc: 0.3, , STD: 0.91503
14.0%, MSE: 0.45, Test Acc: 0.3, , STD: 0.413017
15.0%, MSE: 0.46, Test Acc: 0.33, , STD: 0.849748
16.0%, MSE: 0.48, Test Acc: 0.33, , STD: 1.086272
17.0%, MSE: 0.44, Test Acc: 0.29, , STD: 0.773801
18.0%, MSE: 0.56, Test Acc: 0.32, , STD: 0.595896
19.0%, MSE: 0.34, Test Acc: 0.3, , STD: 2.103938
20.0%, MSE: 0.52, Test Acc: 0.32, , STD: 2.406438
21.0%, MSE: 0.47, Test Acc: 0.25, , STD: 0.499471
22.0%, MSE: 0.55, Test Acc: 0.31, , STD: 2.073219
23.0%, MSE: 0.44, Test Acc: 0.28, , STD: 0.713828
24.0%, MSE: 0.43, Test Acc: 0.27, , STD: 0.611388
25.0%, MSE: 0.44, Test Acc: 0.3, , STD: 0.833063
26.0%, MSE: 0.44, Test Acc: 0.31, , STD: 1.760592
27.0%, MSE: 0.39, Test Acc: 0.3, , STD: 0.326846
28.0%, MSE: 0.38, Test Acc: 0.31, , STD: 1.777429
29.0%, MSE: 0.39, Test Acc: 0.33, , STD: 1.311
30.0%, MSE: 0.88, Test Acc: 0.31, , STD: 1.186357
31.0%, MSE: 0.55, Test Acc: 0.31, , STD: 1.079824
32.0%, MSE: 0.47, Test Acc: 0.28, , STD: 3.717935
33.0%, MSE: 0.42, Test Acc: 0.33, , STD: 0.508958
34.0%, MSE: 0.56, Test Acc: 0.3, , STD: 0.303064
35.0%, MSE: 0.66, Test Acc: 0.34, , STD: 0.152956
36.0%, MSE: 0.51, Test Acc: 0.28, , STD: 0.815152
37.0%, MSE: 0.53, Test Acc: 0.31, , STD: 0.183721
38.0%, MSE: 0.49, Test Acc: 0.27, , STD: 0.967329
39.0%, MSE: 0.49, Test Acc: 0.33, , STD: 2.316308
40.0%, MSE: 0.21, Test Acc: 0.33, , STD: 3.263454
41.0%, MSE: 0.74, Test Acc: 0.35, , STD: 1.942002
42.0%, MSE: 0.64, Test Acc: 0.33, , STD: 2.320599
43.0%, MSE: 0.43, Test Acc: 0.3, , STD: 0.192976
44.0%, MSE: 0.41, Test Acc: 0.3, , STD: 0.34401
45.0%, MSE: 0.44, Test Acc: 0.27, , STD: 0.27788
46.0%, MSE: 0.54, Test Acc: 0.27, , STD: 1.021126
47.0%, MSE: 0.42, Test Acc: 0.29, , STD: 2.360138
48.0%, MSE: 0.71, Test Acc: 0.32, , STD: 0.834927
49.0%, MSE: 0.61, Test Acc: 0.3, , STD: 2.680413
50.0%, MSE: 0.65, Test Acc: 0.29, , STD: 0.0
51.0%, MSE: 0.3, Test Acc: 0.27, , STD: 3.018272
52.0%, MSE: 0.19, Test Acc: 0.26, , STD: 4.969676
53.0%, MSE: 0.48, Test Acc: 0.31, , STD: 0.28781
54.0%, MSE: 0.63, Test Acc: 0.28, , STD: 0.39217
55.0%, MSE: 0.6, Test Acc: 0.26, , STD: 0.196228
56.0%, MSE: 0.57, Test Acc: 0.28, , STD: 0.70989
57.0%, MSE: 0.62, Test Acc: 0.24, , STD: 1.873641
58.0%, MSE: 0.71, Test Acc: 0.27, , STD: 1.141148
59.0%, MSE: 0.91, Test Acc: 0.28, , STD: 2.543261
60.0%, MSE: 0.78, Test Acc: 0.29, , STD: 1.836189
61.0%, MSE: 0.71, Test Acc: 0.3, , STD: 2.889865
62.0%, MSE: 0.41, Test Acc: 0.28, , STD: 4.508838
63.0%, MSE: 0.45, Test Acc: 0.3, , STD: 0.387498
64.0%, MSE: 0.37, Test Acc: 0.3, , STD: 0.511958
65.0%, MSE: 0.58, Test Acc: 0.29, , STD: 0.546528
66.0%, MSE: 0.49, Test Acc: 0.3, , STD: 1.085555
67.0%, MSE: 0.55, Test Acc: 0.31, , STD: 1.379927
68.0%, MSE: 0.54, Test Acc: 0.3, , STD: 1.070538
69.0%, MSE: 0.63, Test Acc: 0.26, , STD: 1.210081
70.0%, MSE: 0.4, Test Acc: 0.32, , STD: 1.257932
71.0%, MSE: 0.4, Test Acc: 0.27, , STD: 2.848046
72.0%, MSE: 0.69, Test Acc: 0.3, , STD: 3.792373
73.0%, MSE: 0.57, Test Acc: 0.3, , STD: 0.671041
74.0%, MSE: 0.56, Test Acc: 0.33, , STD: 0.235299
75.0%, MSE: 0.44, Test Acc: 0.3, , STD: 0.244153
76.0%, MSE: 0.64, Test Acc: 0.32, , STD: 0.89686
77.0%, MSE: 0.5, Test Acc: 0.33, , STD: 1.204389
78.0%, MSE: 0.57, Test Acc: 0.3, , STD: 0.927791
79.0%, MSE: 0.51, Test Acc: 0.31, , STD: 1.653066
80.0%, MSE: 0.42, Test Acc: 0.33, , STD: 4.513317
81.0%, MSE: 0.83, Test Acc: 0.31, , STD: 3.784721
82.0%, MSE: 0.69, Test Acc: 0.33, , STD: 3.848284
83.0%, MSE: 0.63, Test Acc: 0.3, , STD: 0.616186
84.0%, MSE: 0.52, Test Acc: 0.36, , STD: 0.224912
85.0%, MSE: 0.61, Test Acc: 0.32, , STD: 0.167327
86.0%, MSE: 0.6, Test Acc: 0.32, , STD: 4.031712
87.0%, MSE: 0.55, Test Acc: 0.33, , STD: 1.165056
88.0%, MSE: 0.71, Test Acc: 0.35, , STD: 1.286448
89.0%, MSE: 0.64, Test Acc: 0.32, , STD: 2.297183
90.0%, MSE: 0.3, Test Acc: 0.3, , STD: 5.244976
91.0%, MSE: 0.75, Test Acc: 0.32, , STD: 1.435201
92.0%, MSE: 0.41, Test Acc: 0.31, , STD: 3.974702
93.0%, MSE: 0.58, Test Acc: 0.28, , STD: 1.275685
94.0%, MSE: 0.75, Test Acc: 0.33, , STD: 0.577492
95.0%, MSE: 0.63, Test Acc: 0.31, , STD: 0.126144
96.0%, MSE: 0.84, Test Acc: 0.33, , STD: 4.557969
97.0%, MSE: 0.67, Test Acc: 0.34, , STD: 0.288825
98.0%, MSE: 0.53, Test Acc: 0.34, , STD: 1.2498
99.0%, MSE: 0.66, Test Acc: 0.32, , STD: 1.660796
