Method,Beta,Perf
SCITE,0.4,-2.3567
FCNN-3,0.4,6.8548
GNN-4,0.4,8.1979
Greedy,0.4,5.4792
SCITE,0.4,9.5736
FCNN-3,0.4,-17.31
GNN-4,0.4,-5.027
Greedy,0.4,-15.9669
SCITE,0.4,3.1617
FCNN-3,0.4,3.1335
GNN-4,0.4,3.6029
Greedy,0.4,2.6966
SCITE,0.4,3.6029
FCNN-3,0.4,-19.4741
GNN-4,0.4,-6.7217
Greedy,0.4,-28.0997
SCITE,0.4,9.1863
FCNN-3,0.4,-0.5661
GNN-4,0.4,-2.8479
Greedy,0.4,-0.5661
SCITE,0.4,-0.5661
FCNN-3,0.4,5.7308
GNN-4,0.4,-2.9272
Greedy,0.4,5.7308
SCITE,0.4,4.8246
FCNN-3,0.4,-1.6618
GNN-4,0.4,-8.038
Greedy,0.4,-9.8505
SCITE,0.4,-1.6618
FCNN-3,0.4,16.9348
GNN-4,0.4,-4.5082
Greedy,0.4,14.216
SCITE,0.4,16.9348
FCNN-3,0.4,-12.7581
GNN-4,0.4,-17.7912
Greedy,0.4,-17.7587
SCITE,0.4,-1.8507
FCNN-3,0.4,-0.9076
GNN-4,0.4,0.9048
Greedy,0.4,-0.9076
SCITE,0.4,0.9048
FCNN-3,0.4,-0.0339
GNN-4,0.4,-7.3164
Greedy,0.4,-6.4101
SCITE,0.4,-0.0339
FCNN-3,0.4,1.3613
GNN-4,0.4,5.0188
Greedy,0.4,1.8307
SCITE,0.4,5.9251
FCNN-3,0.4,-2.7533
GNN-4,0.4,-2.7533
Greedy,0.4,-3.6595
SCITE,0.4,-2.7533
FCNN-3,0.4,8.7307
GNN-4,0.4,11.9188
Greedy,0.4,4.6364
SCITE,0.4,12.825
FCNN-3,0.4,-13.6987
GNN-4,0.4,-10.9474
Greedy,0.4,-13.6987
SCITE,0.4,1.7725
FCNN-3,0.4,-3.1541
GNN-4,0.4,-33.627
Greedy,0.4,-7.2485
SCITE,0.4,-1.3416
FCNN-3,0.4,5.8136
GNN-4,0.4,6.7199
Greedy,0.4,-15.0949
SCITE,0.4,7.1567
FCNN-3,0.4,5.1898
GNN-4,0.4,2.9079
Greedy,0.4,5.1898
SCITE,0.4,5.1898
FCNN-3,0.4,-11.5364
GNN-4,0.4,-10.6301
Greedy,0.4,-21.505
SCITE,0.4,-3.3477
FCNN-3,0.4,3.2334
GNN-4,0.4,-47.7112
Greedy,0.4,-18.1446
SCITE,0.4,9.1402
FCNN-3,0.4,-0.507
GNN-4,0.4,-0.5395
Greedy,0.4,-7.7569
SCITE,0.4,9.9311
FCNN-3,0.4,-4.509
GNN-4,0.4,-9.5096
Greedy,0.4,-16.7921
SCITE,0.4,-4.509
FCNN-3,0.4,4.6168
GNN-4,0.4,4.5843
Greedy,0.4,3.7106
SCITE,0.4,6.4293
FCNN-3,0.4,1.0575
GNN-4,0.4,1.5269
Greedy,0.4,-3.0368
SCITE,0.4,1.5269
FCNN-3,0.5,6.8218
GNN-4,0.5,0.737
Greedy,0.5,6.8218
SCITE,0.5,6.8218
FCNN-3,0.5,-1.7392
GNN-4,0.5,-4.4716
Greedy,0.5,-2.4223
SCITE,0.5,0.1235
FCNN-3,0.5,19.8328
GNN-4,0.5,19.3363
Greedy,0.5,12.5053
SCITE,0.5,19.8328
FCNN-3,0.5,-6.2049
GNN-4,0.5,-12.6628
Greedy,0.5,-8.2542
SCITE,0.5,-6.2049
FCNN-3,0.5,-3.1082
GNN-4,0.5,-5.654
Greedy,0.5,-3.1082
SCITE,0.5,-1.9286
FCNN-3,0.5,-1.2383
GNN-4,0.5,-2.4179
Greedy,0.5,-1.9214
SCITE,0.5,-1.2383
FCNN-3,0.5,9.0146
GNN-4,0.5,9.0146
Greedy,0.5,9.0146
SCITE,0.5,9.5111
FCNN-3,0.5,22.5584
GNN-4,0.5,19.1429
Greedy,0.5,23.9246
SCITE,0.5,28.5197
FCNN-3,0.5,13.814
GNN-4,0.5,12.6344
Greedy,0.5,9.902
SCITE,0.5,13.814
FCNN-3,0.5,5.4841
GNN-4,0.5,-0.1041
Greedy,0.5,5.4841
SCITE,0.5,5.4841
FCNN-3,0.5,-3.5509
GNN-4,0.5,-9.3256
Greedy,0.5,-1.0051
SCITE,0.5,-0.322
FCNN-3,0.5,4.087
GNN-4,0.5,4.087
Greedy,0.5,4.087
SCITE,0.5,4.087
FCNN-3,0.5,-2.9208
GNN-4,0.5,-1.5546
Greedy,0.5,-22.6675
SCITE,0.5,2.3574
FCNN-3,0.5,6.2449
GNN-4,0.5,7.4245
Greedy,0.5,9.9703
SCITE,0.5,13.1993
FCNN-3,0.5,6.0619
GNN-4,0.5,-1.7621
Greedy,0.5,6.0619
SCITE,0.5,6.0619
FCNN-3,0.5,17.1728
GNN-4,0.5,4.9402
Greedy,0.5,17.1728
SCITE,0.5,17.1728
FCNN-3,0.5,-3.263
GNN-4,0.5,-3.263
Greedy,0.5,-3.263
SCITE,0.5,-3.263
FCNN-3,0.5,-4.1869
GNN-4,0.5,-28.3422
Greedy,0.5,-4.87
SCITE,0.5,1.5878
FCNN-3,0.5,0.9047
GNN-4,0.5,-2.1377
Greedy,0.5,1.0913
SCITE,0.5,1.0913
FCNN-3,0.5,-11.9869
GNN-4,0.5,-4.1628
Greedy,0.5,-12.1734
SCITE,0.5,-0.4373
FCNN-3,0.5,-11.0512
GNN-4,0.5,3.2307
Greedy,0.5,-14.4667
SCITE,0.5,8.5089
FCNN-3,0.5,14.9579
GNN-4,0.5,16.8206
Greedy,0.5,14.9579
SCITE,0.5,16.8206
FCNN-3,0.5,3.3199
GNN-4,0.5,4.003
Greedy,0.5,3.3199
SCITE,0.5,7.2319
FCNN-3,0.5,-5.8913
GNN-4,0.5,-8.4371
Greedy,0.5,-5.8913
SCITE,0.5,-5.8913
FCNN-3,0.5,5.2131
GNN-4,0.5,-6.3364
Greedy,0.5,5.2131
SCITE,0.5,5.2131
FCNN-3,0.5,-20.9113
GNN-4,0.5,-14.0804
Greedy,0.5,-30.4747
SCITE,0.5,-10.3549
FCNN-3,0.5,4.1546
GNN-4,0.5,2.9749
Greedy,0.5,2.7884
SCITE,0.5,4.1546
FCNN-3,0.5,-2.9635
GNN-4,0.5,-6.0059
Greedy,0.5,-2.9635
SCITE,0.5,-0.2311
FCNN-3,0.5,2.0715
GNN-4,0.5,2.0715
Greedy,0.5,0.0222
SCITE,0.5,6.6666
FCNN-3,0.5,5.6393
GNN-4,0.5,6.3224
Greedy,0.5,6.3224
SCITE,0.5,6.3224
FCNN-3,0.5,0.0572
GNN-4,0.5,-5.0345
Greedy,0.5,0.7403
SCITE,0.5,0.7403
FCNN-3,0.5,-3.0873
GNN-4,0.5,-7.4959
Greedy,0.5,0.1416
SCITE,0.5,0.1416
FCNN-3,0.5,-3.0676
GNN-4,0.5,-8.1593
Greedy,0.5,-5.1169
SCITE,0.5,0.8444
FCNN-3,0.5,6.9653
GNN-4,0.5,4.4194
Greedy,0.5,9.5111
SCITE,0.5,9.5111
FCNN-3,0.5,10.4511
GNN-4,0.5,8.5884
Greedy,0.5,10.4511
SCITE,0.5,10.4511
FCNN-3,0.5,16.0498
GNN-4,0.5,3.8172
Greedy,0.5,14.8702
SCITE,0.5,16.0498
FCNN-3,0.5,-2.0665
GNN-4,0.5,-7.8412
Greedy,0.5,-2.0665
SCITE,0.5,-1.5699
FCNN-3,0.5,-1.9242
GNN-4,0.5,-4.47
Greedy,0.5,-1.9242
SCITE,0.5,-1.2411
FCNN-3,0.5,11.3494
GNN-4,0.5,10.1698
Greedy,0.5,11.3494
SCITE,0.5,11.536
FCNN-3,0.5,10.5083
GNN-4,0.5,-0.0481
Greedy,0.5,5.9132
SCITE,0.5,11.9979
FCNN-3,0.5,1.7373
GNN-4,0.5,-1.4916
Greedy,0.5,-1.4916
SCITE,0.5,2.4204
FCNN-3,0.5,5.2095
GNN-4,0.5,1.6706
Greedy,0.5,5.3961
SCITE,0.5,7.2588
FCNN-3,0.5,6.8934
GNN-4,0.5,3.1679
Greedy,0.5,7.5765
SCITE,0.5,8.073
FCNN-3,0.5,-5.4136
GNN-4,0.5,-5.4136
Greedy,0.5,-1.5016
SCITE,0.5,-0.322
FCNN-3,0.5,-18.3004
GNN-4,0.5,-9.7932
Greedy,0.5,-18.9835
SCITE,0.5,-0.7896
FCNN-3,0.5,4.9085
GNN-4,0.5,-8.3172
Greedy,0.5,-6.331
SCITE,0.5,9.317
FCNN-3,0.5,-5.4715
GNN-4,0.5,6.0781
Greedy,0.5,-15.2214
SCITE,0.5,8.997
FCNN-3,0.5,15.4524
GNN-4,0.5,14.7693
Greedy,0.5,15.4524
SCITE,0.5,15.4524
FCNN-3,0.5,9.8654
GNN-4,0.5,6.823
Greedy,0.5,5.9534
SCITE,0.5,10.3619
FCNN-3,0.5,3.5724
GNN-4,0.5,0.3435
Greedy,0.5,3.5724
SCITE,0.5,2.8894
FCNN-3,0.5,1.5376
GNN-4,0.5,1.5376
Greedy,0.5,1.5376
SCITE,0.5,1.5376
FCNN-3,0.5,-3.5409
GNN-4,0.5,-7.2664
Greedy,0.5,-4.224
SCITE,0.5,-3.5409
FCNN-3,0.5,-6.2761
GNN-4,0.5,-15.2798
Greedy,0.5,-6.9592
SCITE,0.5,-6.2761
FCNN-3,0.5,0.6928
GNN-4,0.5,-1.8531
Greedy,0.5,0.6928
SCITE,0.5,0.6928
FCNN-3,0.5,5.7777
GNN-4,0.5,1.0591
Greedy,0.5,3.4184
SCITE,0.5,11.9255
FCNN-3,0.5,18.5993
GNN-4,0.5,14.1907
Greedy,0.5,14.6872
SCITE,0.5,19.7789
FCNN-3,0.5,-3.4672
GNN-4,0.5,-22.4677
Greedy,0.5,-6.8827
SCITE,0.5,5.0399
FCNN-3,0.5,-3.8199
GNN-4,0.5,-2.2671
Greedy,0.5,-28.3482
SCITE,0.5,11.3317
FCNN-3,0.5,-1.7047
GNN-4,0.5,-4.9336
Greedy,0.5,-1.7047
SCITE,0.5,-1.0216
FCNN-3,0.5,16.2565
GNN-4,0.5,14.3938
Greedy,0.5,16.2565
SCITE,0.5,22.0313
FCNN-3,0.5,-5.749
GNN-4,0.5,-9.4744
Greedy,0.5,0.0258
SCITE,0.5,6.6702
FCNN-3,0.5,1.852
GNN-4,0.5,-3.9228
Greedy,0.5,-1.5635
SCITE,0.5,2.3485
FCNN-3,0.5,-1.746
GNN-4,0.5,-17.2075
Greedy,0.5,-8.3904
SCITE,0.5,2.166
FCNN-3,0.5,-6.442
GNN-4,0.5,-10.8506
Greedy,0.5,-5.7589
SCITE,0.5,-1.8469
FCNN-3,0.5,8.2362
GNN-4,0.5,-0.7675
Greedy,0.5,7.5531
SCITE,0.5,7.5531
FCNN-3,0.5,-8.3418
GNN-4,0.5,-8.3418
Greedy,0.5,-8.3418
SCITE,0.5,-8.3418
FCNN-3,0.5,0.5505
GNN-4,0.5,-4.5411
Greedy,0.5,-6.777
SCITE,0.5,0.5505
FCNN-3,0.5,5.9671
GNN-4,0.5,3.2347
Greedy,0.5,5.9671
SCITE,0.5,6.4636
FCNN-3,0.5,-6.311
GNN-4,0.5,-13.7619
Greedy,0.5,-12.7688
SCITE,0.5,1.6996
FCNN-3,0.5,4.0367
GNN-4,0.5,0.8078
Greedy,0.5,3.3537
SCITE,0.5,8.4453
FCNN-3,0.5,6.3458
GNN-4,0.5,1.0676
Greedy,0.5,4.9796
SCITE,0.5,6.3458
FCNN-3,0.5,-3.2943
GNN-4,0.5,-9.5656
Greedy,0.5,-3.2943
SCITE,0.5,2.4804
FCNN-3,0.5,22.203
GNN-4,0.5,13.6958
Greedy,0.5,7.7345
SCITE,0.5,24.0657
FCNN-3,0.5,1.7435
GNN-4,0.5,1.0604
Greedy,0.5,1.7435
SCITE,0.5,4.2893
FCNN-3,0.5,18.3725
GNN-4,0.5,5.1468
Greedy,0.5,17.1929
SCITE,0.5,17.1929
FCNN-3,0.5,2.4884
GNN-4,0.5,0.8122
Greedy,0.5,2.4884
SCITE,0.5,5.5308
FCNN-3,0.5,9.0842
GNN-4,0.5,3.6825
Greedy,0.5,10.4503
SCITE,0.5,11.1334
FCNN-3,0.5,1.1588
GNN-4,0.5,0.1657
Greedy,0.5,1.1588
SCITE,0.5,1.8419
FCNN-3,0.5,-2.3845
GNN-4,0.5,3.5768
Greedy,0.5,-7.9727
SCITE,0.5,4.7564
FCNN-3,0.5,0.8757
GNN-4,0.5,-2.3532
Greedy,0.5,0.6892
SCITE,0.5,1.3723
FCNN-3,0.5,3.6588
GNN-4,0.5,3.6588
Greedy,0.5,7.3842
SCITE,0.5,7.3842
FCNN-3,0.5,7.9154
GNN-4,0.5,5.3696
Greedy,0.5,7.9154
SCITE,0.5,9.095
FCNN-3,0.5,3.3187
GNN-4,0.5,-0.4068
Greedy,0.5,-3.1392
SCITE,0.5,3.3187
FCNN-3,0.5,2.2717
GNN-4,0.5,2.2717
Greedy,0.5,-2.2
SCITE,0.5,11.2754
FCNN-3,0.5,0.4074
GNN-4,0.5,-2.4484
Greedy,0.5,4.506
SCITE,0.5,9.1011
FCNN-3,0.5,-6.2897
GNN-4,0.5,-12.251
Greedy,0.5,-6.9728
SCITE,0.5,-4.6135
FCNN-3,0.5,9.1686
GNN-4,0.5,9.1686
Greedy,0.5,3.7038
SCITE,0.5,9.1686
FCNN-3,0.5,15.1408
GNN-4,0.5,13.2781
Greedy,0.5,13.2781
SCITE,0.5,15.1408
FCNN-3,0.5,-3.4636
GNN-4,0.5,2.8708
Greedy,0.5,-15.3862
SCITE,0.5,4.0505
FCNN-3,0.5,1.901
GNN-4,0.5,-23.0607
Greedy,0.5,-22.1308
SCITE,0.5,8.732
FCNN-3,0.5,-2.9084
GNN-4,0.5,-2.7219
Greedy,0.5,-0.176
SCITE,0.5,0.5071
FCNN-3,0.5,1.197
GNN-4,0.5,-2.715
Greedy,0.5,1.197
SCITE,0.5,3.5562
FCNN-3,0.5,9.3488
GNN-4,0.5,-0.338
Greedy,0.5,10.0319
SCITE,0.5,10.0319
FCNN-3,0.5,15.6237
GNN-4,0.5,13.6375
Greedy,0.5,17.673
SCITE,0.5,23.6343
FCNN-3,0.5,4.3439
GNN-4,0.5,2.4812
Greedy,0.5,4.3439
SCITE,0.5,4.3439
FCNN-3,0.5,-0.2066
GNN-4,0.5,-3.4355
Greedy,0.5,-0.2066
SCITE,0.5,-0.8897
FCNN-3,0.5,11.2425
GNN-4,0.5,6.1508
Greedy,0.5,7.1439
SCITE,0.5,11.2425
FCNN-3,0.5,6.6063
GNN-4,0.5,7.7859
Greedy,0.5,-1.7774
SCITE,0.5,15.4234
FCNN-3,0.5,6.4362
GNN-4,0.5,-11.7577
Greedy,0.5,6.2496
SCITE,0.5,6.9327
FCNN-3,0.5,15.0226
GNN-4,0.5,11.2971
Greedy,0.5,15.0226
SCITE,0.5,15.0226
